,filename,Category
0,clothmask-0.png,0
1,clothmask-13.png,0
2,clothmask-23.png,0
3,clothmask-31.png,0
4,clothmask-4.png,0
5,clothmask-42.png,0
6,clothmask-58.png,0
7,clothmask-7.png,0
8,clothmask-8.png,0
9,N95-1123.png,1
10,N95-1141.png,1
11,N95-1142.png,1
12,N95-1146.png,1
13,N95-1147.png,1
14,N95-1159.png,1
15,N95-1166.png,1
16,N95-1167.png,1
17,N95-1169.png,1
18,N95_withValve-1199.png,2
19,N95_withValve-1200.png,2
20,N95_withValve-1210.png,2
21,N95_withValve-1214.png,2
22,N95_withValve-1223.png,2
23,N95_withValve-1226.png,2
24,N95_withValve-1244.png,2
25,N95_withValve-1246.png,2
26,NoMask-126.png,3
27,NoMask-148.png,3
28,NoMask-193.png,3
29,NoMask-201.png,3
30,NoMask-206.png,3
31,NoMask-209.png,3
32,NoMask-210.png,3
33,SurgicalMask-1317.png,4
34,SurgicalMask-1322.png,4
35,SurgicalMask-1323.png,4
36,SurgicalMask-1324.png,4
37,SurgicalMask-1362.png,4
38,SurgicalMask-1383.png,4
