,filename,Category
0,clothmask-10.png,0
1,clothmask-137.png,0
2,clothmask-158.png,0
3,clothmask-162.png,0
4,clothmask-287.png,0
5,clothmask-324.png,0
6,clothmask-50.png,0
7,clothmask-74.png,0
8,clothmask-80.png,0
9,N95-1210.png,1
10,N95-1254.png,1
11,N95-1275.png,1
12,N95-1300.png,1
13,N95-1343.png,1
14,N95_withValve-1051.png,2
15,N95_withValve-1087.png,2
16,N95_withValve-1088.png,2
17,N95_withValve-1178.png,2
18,N95_withValve-1322.png,2
19,N95_withValve-1361.png,2
20,NoMask-202.png,3
21,NoMask-287.png,3
22,NoMask-303.png,3
23,NoMask-328.png,3
24,NoMask-350.png,3
25,NoMask-373.png,3
26,NoMask-380.png,3
27,NoMask-431.png,3
28,SurgicalMask-1078.png,4
29,SurgicalMask-1194.png,4
30,SurgicalMask-1195.png,4
31,SurgicalMask-1237.png,4
32,SurgicalMask-1247.png,4
33,SurgicalMask-1290.png,4
34,SurgicalMask-1312.png,4
35,SurgicalMask-1367.png,4
36,SurgicalMask-1381.png,4
